Indian Market Option Chain Data Providers - Last Updated: 2026-05-16
"Coverage: NSE (Equity + Index F&O), BSE F&O, MCX Commodities | EOD Daily Focus"
Provider,URL,Asset Classes,Monthly Cost (USD),Cost Notes,Historical Depth,Delivery Format,Latency,Data Fields,Rate Limits,Python SDK,API Documentation,Detailed Coverage,Pros,Cons,Status,Notes (90-day updates),Last Verified
Shoonya (Finvasia) API,https://shoonya.com,"NSE, BSE, MCX (Equity, Derivatives, Currency, Commodity)",Free,Trading + Data API both FREE. Brokerage: Rs 5 flat per options order,Historical daily + intraday available,"WebSocket + REST API (Noren OMS), JSON",Real-time,Live market data; historical OHLC; F&O segment data; option chain access,Standard broker limits,"Yes (official Python, NodeJS, .NET SDKs on GitHub)",https://shoonya.com/api-documentation,"NSE,BSE,MCX | Equity,Derivatives,Currency,Commodities | Noren OMS: REST+WS for live quotes | Option Chain: LTP,Bid/Ask,Volume,OI | Greeks: NOT documented in API (calculate locally) | Python/.Net/Node SDKs | Free with Shoonya trading account",Completely free API; official multi-language SDKs; lowest brokerage; covers all segments,Past technical glitches; limited vs standalone data vendors; not pure data play,Testing,Completely free option. Test data quality and reliability over 2 weeks.,2026-05-16
Definedge/Opstra (Integrate API),https://definedgesecurities.com,NSE F&O (Opstra); NSE/BSE/MCX (broking Integrate API),Free with acct,Integrate API free with Definedge Securities account. Opstra subscription plans.,Daily: 20 years; Intraday: 6 months; Tick: last 2 sessions,"REST API (JSON), CSV exports, WebSocket",1-min snapshot (IV/Greeks calc with few seconds delay),"Option chain with OI, IV, Greeks, PCR, volatility skew, multi-leg strategy charts",Standard broker limits,Yes (official Python client documented),https://www.definedgesecurities.com/api-documentation/; https://pypi.org/project/pyintegrate/ (Python),"NSE,BSE,MCX | NSE Cash,NSE FNO,CDS,BSE Cash,BSE FNO,MCX FNO | No dedicated OC API — build from master files+WS | Historical Data API: OHLCV+OI per token | NO Greeks in API (Opstra terminal computes internally) | 20yr daily; 6mo intraday; 2 sessions tick | Personal use only",20yr daily history; most comprehensive options analytics; strategy optimizer; noiseless charts,Data restricted to personal use (no redistribution); broker account required; Opstra is UI-focused,Priority #2,Best history depth among broker APIs. Test API for raw data extraction viability.,2026-05-16
Quantsapp,https://quantsapp.com,"NSE F&O (Indices + Stocks), MCX Options",$5-20/mo (est),Free basic tier; GO PRO plans monthly/yearly subscriptions,Historical options & futures data; OI builder charts,Web + mobile app; internal APIs (not publicly documented),Real-time,"Live option chain with Greeks (Delta/Theta/Vega/Gamma), IV, OI, volumes, PCR, Max Pain",N/A (web platform),No official SDK (internal APIs can be reverse-engineered),https://ordersapi.quantsapp.com/ (Orders); https://iframe-doc.quantsapp.com/products/option-chain (Embed),"NSE,BSE | NSE F&O, MCX Options | Embeddable iframe OC (not REST API for raw data) | Data: Premiums,OI,IV,Volume,Greeks (D,G,T,V) real-time | Orders API: trade execution via connected brokers (Dhan,Choice) | Python SDK available | NSE 1-min Snapshot Data Vendor | No public data API for programmatic extraction",India's #1 options analytics platform (1.7M+ users); comprehensive Greeks; strategy builder,No public REST API for raw data; primarily a UI platform; no official Python SDK,Researching,Good for manual analysis/validation. Not suitable as primary programmatic source.,2026-05-16
Sensibull,https://sensibull.com,"NSE F&O (Indices + Stocks), USDINR Options",Free / Premium,Free tier with basic option chain. Premium plans for advanced tools.,Historical option chain analyzer (data since ~2016),Web + mobile app; reverse-engineered WebSocket fetchers on GitHub (65 stars),OI refreshed every 1-3 min per exchange rules,"Option chain with Greeks (Delta/Theta/Gamma/Vega), IV, OI, PCR, POP, FII/DII data",N/A (web platform),No official SDK. Community reverse-engineered solutions exist on GitHub.,NO public API (Zerodha+Kite forum confirms: 'Sensibull don't provide any API for option greeks'),"NSE,BSE | NSE F&O indices+stocks, USDINR Options | Web UI: live OC with OI,OI Chg%,LTP,IV,Greeks (D,G,T,V) | Reverse-engineered community GitHub project exists (65 stars) — NOT official | Broker login: Zerodha,Upstox,Angel One,etc. | 2M+ users | No programmatic data access",2M+ users; excellent UI/UX; free basic option chain with Greeks; broker integrations,No official API; reverse-engineering required for programmatic access,Researching,Good validation source. Community GitHub scrapers exist but reliability concerns.,2026-05-16
AlgoTest,https://algotest.in,"NSE F&O options (Indices + Stocks), crypto (Delta Exchange)",$6/mo (INR 499),25 free backtests/week. Starter INR 499/mo. Credits for additional (~Rs 1/credit),7.5+ years tick-level NSE options historical data,Web platform (no-code strategy builder); broker execution; not a raw data API,Tick-level (historical); real-time for live execution,Tick-by-tick NSE options data; strategy builder with Greeks; multi-leg; margin calculator,Credit-based system,No SDK but supports Python-coded custom strategies,https://docs.algotest.in/,"NSE only (via brokers) | NIFTY,BANKNIFTY,FINNIFTY,MIDCAPNIFTY,SENSEX,BANKEX + 500 stocks | Built-in Strategy Builder with OC+Greeks | NO public data API (consumes broker APIs, does not expose its own) | 50+ broker integrations via Open XTS | Multi-year backtesting data | Not a data source — backtesting/execution platform",Best-in-class options backtesting; tick-level data; 55+ broker integrations; Y Combinator backed,Not a raw data API (backtesting/execution platform); data cannot be exported,Testing,Best for backtesting validation. Cannot use as primary data source for pipeline.,2026-05-16
NiftyTrader,https://niftytrader.in,NSE F&O,Free / Premium,Free basic access. Premium plans for advanced features.,4+ years backtesting data,Web platform; option chain data downloads; broker integrations,EOD + Intraday snapshots,"Option chain with OI, PCR, Greeks download; backtesting support",N/A (web platform),No,NO public API (consumer web platform),"NSE,BSE | Index options (NIFTY,BANKNIFTY,FINNIFTY,MIDCAPNIFTY,SENSEX) + stock options | Web display: Strike,LTP,OI,OI Chg,IV,Volume,Premium | Greeks view: D,G,T,V | PCR,Max Pain,OI Build-up | Prime: historical OC data,OI timeflow backtesting | Broker-linked read-only | NO REST/WS API for third parties",Clean web interface; downloadable option chain data; free basic access; backtesting,Web-only; no API; limited history depth; niche user base,Researching,Lightweight backup source for manual data verification.,2026-05-16
Accord Fintech (ACE Datafeed),https://accordfintech.com,"NSE, BSE, MCX, NCDEX (Equity, Derivatives, Commodities, Currency, MF)",Enterprise (Contact),Reported as expensive for startups. Contact sales for quote.,Extensive historical data across all segments,FTP + REST API (CSV/JSON); desktop apps (ACE Equity Nxt),EOD + Intraday,Intraday/EOD prices for Equity/Derivatives; company financials (5yr/8qtr); MF NAV,Enterprise SLA,No official SDK. REST API consumable by any language.,https://www.accordfintech.com/market-data-feed (enterprise sales — no public self-serve API portal),"NSE,BSE,MCX,NCDEX | All segments: Equity,Derivatives,Commodities,Currency,MF,IPOs | Authorized BSE+NSE+MCX+NCDEX vendor | Delivery: FTP (CSV/JSON), REST API | Frequency: Real-time,Intraday,EOD,Historical | Enterprise sales model (info@accordfintech.com) | Powers many Indian financial portals | Est. 1997, ISO 9001",Est. 1997; ISO 9001:2015; powers many Indian financial portals; comprehensive,Expensive (not startup-friendly); less modern API; institutional focus,Researching,Too expensive for solo researcher. Keep in mind for future institutional setup.,2026-05-16
CMOTS Infotech,https://cmots.com,"NSE, BSE, MCX (Equity, Derivatives, Commodities, Currency, MF, IPOs)",Enterprise (Contact),Reported as expensive for startups. Owns Chartink and Lemonn.,Extensive historical data,REST API (JSON/XML). Also owns Chartink (popular free scanner).,Real-time + Delayed + EOD,"Full API DataFeed: Real-time, delayed, historical, EOD for Equity and Derivatives",Enterprise SLA,No official SDK. REST API consumable by any language.,"https://www.cmots.com/products/api-datafeed; https://www.apidatafeed.com/ (API catalog, registration required)","NSE,BSE,MCX | Equity,Derivatives,Commodities,Currency,MF,IPOs | REST API (JSON/XML), also CSV/Excel | Frequency: Delayed,Historical,EOD | Interactive API catalog with self-service subscription | Est. 1997, ISO 9001, owns Chartink | Enterprise-focused; specific OC API details behind login",Est. 1997; ISO 9001:2015; 260+ employees; owns Chartink; comprehensive data,Expensive; enterprise-focused; less developer-friendly; no modern API docs,Researching,Similar to Accord. Enterprise-only. Consider as institutional fallback.,2026-05-16
Finnworlds,https://finnworlds.com,"Global equities incl. India (NSE) + Commodities, Forex, Bonds, Indices",$19/mo Starter,Starter: $19/mo (25K calls). Developer: $49. Standard: $199. Enterprise: $499.,"Historical options chain data; also OHLC, technical indicators, financial ratios","REST API (JSON). Live endpoint (3-sec lag), non-live (5-min refresh).",3-sec lag (live); 5-min refresh (non-live),"Option chain: last price, strike, bid, ask, type, expiration, volume, OI per contract",40 calls/min Starter; scales with plan,No official SDK. REST API compatible. GitHub examples available.,https://finnworlds.com/options-chain-api/; https://finnworlds.com/documentation; https://github.com/Finnworlds-Financial-data-API/Option-Chain-API,"Global equity options (US focus — AAPL example). NSE India coverage NOT confirmed | /optionchain (5-min refresh); /optionchainlive (3-sec lag) | Fields: Last Price,Strike,Bid,Ask,Type,Expiry,Volume,OI | NO Greeks (not in response) | Historical OC available | From $19/mo Starter | Multi-language examples on GitHub",Clean REST API; very affordable entry; covers Indian markets; includes OI,Not India-specific (India depth may be limited); no Greeks; no IV; 3-sec lag,Testing,Budget global option. Test India data depth. No Greeks = compute yourself.,2026-05-16
iCharts,https://icharts.in,"NSE, BSE, MCX",Free / Premium,Free basic. Premium subscription plans.,EOD charting; intraday available,Web platform; 1-min snapshot data vendor,1-min snapshot,Real-time data/charts; option chain visualization,N/A (web platform),No,https://www.icharts.in/ (login required — no public API docs),"NSE | NSE Equity F&O, Currency F&O | Platform: OC + IV analytics | Greeks: limited/not comprehensive | Latency: ~1min30s price; ~4min30s OI | Broker integrations: Tradejini,AC Agarwal,Upstox,Angel One,FYERS | NSE 1-min Snapshot Data Vendor | Consumer platform — no developer API",NSE authorized vendor; clean charts; free basic access,Web-only; no API; limited data export; niche,Researching,Backup visual reference only. No programmatic use.,2026-05-16
Spider Software,https://spidersoftwareindia.com,"NSE Cash, F&O, Currency; BSE; MCX",$900 one-time (INR 75K),"IRIS+: INR 75,000 one-time + GST. IRIS EOD: INR 26,000.",EOD and intraday historical data for backtesting,"Windows desktop app (Spider IRIS+, Spider Algo). No web API/cloud.",Real-time tick-by-tick,Tick-by-tick data; options chain; OI charts; 150+ indicators; AI recommendations,N/A (desktop software),No (desktop software only),NO API (desktop software only),"NSE | NSE Cash,F&O,Currency | Desktop: Spider IRIS+ (INR 75K+GST), IRIS EOD (INR 26K) | Live tick-by-tick NSE data | 150+ indicators,auto trendlines,AI recommendations | Authorized NSE vendor (CM,F&O,CD) | Windows-only desktop app | NO REST/WS API for developers","Est. 2000; NSE official vendor; comprehensive desktop charting; 10,000+ clients",Windows-only desktop; no API; expensive one-time cost; dated technology,Researching,Not suitable for programmatic pipeline. Legacy desktop tool.,2026-05-16
